City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Noumea,NC,-22.2763,166.4572,75.18,99,0,9.71,clear sky
1,Capinopolis,BR,-18.6819,-49.5697,73.62,26,8,4.03,clear sky
2,Khatanga,RU,71.9667,102.5,53.82,92,100,2.08,overcast clouds
3,Kavieng,PG,-2.5744,150.7967,82.56,77,98,8.05,light rain
4,Port Hedland,AU,-20.3167,118.5667,62.65,100,26,3.44,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,37.06,60,90,9.22,overcast clouds
6,Kharp,RU,66.8014,65.8081,51.4,78,44,4.05,scattered clouds
7,Atuona,PF,-9.8,-139.0333,77.59,68,74,17.94,broken clouds
8,Lishu,CN,43.3047,124.3278,78.87,78,7,6.69,clear sky
9,Busselton,AU,-33.65,115.3333,48.04,74,67,7.43,broken clouds
10,Chokurdakh,RU,70.6333,147.9167,46.44,69,90,7.0,overcast clouds
11,San Carlos,VE,9.6612,-68.5827,76.96,85,66,1.83,broken clouds
12,Gijon,ES,43.5357,-5.6615,66.99,86,34,1.99,scattered clouds
13,Kapaa,US,22.0752,-159.319,84.18,80,40,3.0,light rain
14,Bethel,US,41.3712,-73.414,78.73,76,40,8.05,scattered clouds
15,Bluff,NZ,-46.6,168.3333,45.81,67,84,11.41,broken clouds
16,Dikson,RU,73.5069,80.5464,49.17,68,100,17.02,overcast clouds
17,Vanavara,RU,60.34,102.2797,61.12,68,95,1.59,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,49.1,76,96,31.03,light rain
19,Manggar,ID,-2.8833,108.2667,81.36,81,99,10.22,overcast clouds
20,Georgetown,MY,5.4112,100.3354,82.33,88,20,0.0,few clouds
21,Hermanus,ZA,-34.4187,19.2345,45.9,70,94,14.74,light rain
22,Rikitea,PF,-23.1203,-134.9692,72.95,60,21,14.97,few clouds
23,Lebu,CL,-37.6167,-73.65,51.67,94,100,4.09,overcast clouds
24,Hobart,AU,-42.8794,147.3294,53.22,77,75,3.0,broken clouds
25,Sorong,ID,-0.8833,131.25,78.01,86,93,7.92,overcast clouds
26,Grand Gaube,MU,-20.0064,57.6608,71.91,67,72,24.27,light rain
27,Touros,BR,-5.1989,-35.4608,76.1,81,8,14.9,clear sky
28,Kodiak,US,57.79,-152.4072,54.86,91,93,5.82,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,81.84,74,100,10.67,overcast clouds
30,Port Hawkesbury,CA,45.6169,-61.3485,68.92,91,90,7.0,overcast clouds
31,Mahebourg,MU,-20.4081,57.7,70.45,69,88,19.35,light rain
32,Carnarvon,AU,-24.8667,113.6333,64.0,67,7,10.58,clear sky
33,Shouguang,CN,36.88,118.7375,82.17,81,100,7.45,overcast clouds
34,Leningradskiy,RU,69.3833,178.4167,38.26,76,100,5.14,overcast clouds
35,Strezhevoy,RU,60.7333,77.5889,66.18,81,79,10.71,broken clouds
36,Motril,ES,36.7507,-3.5179,85.28,60,0,2.44,clear sky
37,Cap-Aux-Meules,CA,47.3821,-61.8597,60.62,90,99,11.92,light rain
38,Yellowknife,CA,62.456,-114.3525,73.29,60,83,1.01,broken clouds
