City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,43.81,89,100,9.01,moderate rain
1,Novyy Urgal,RU,51.0736,132.5642,69.96,93,100,1.03,overcast clouds
2,Bethel,US,41.3712,-73.414,75.51,81,75,1.01,broken clouds
3,Kodiak,US,57.79,-152.4072,52.3,98,100,4.63,light rain
4,Port Blair,IN,11.6667,92.75,82.11,83,100,23.04,light rain
5,Khash,IR,28.2211,61.2158,93.47,8,0,21.79,clear sky
6,Asadabad,IR,34.7824,48.1185,99.57,10,67,9.8,broken clouds
7,Kavaratti,IN,10.5669,72.642,82.27,80,100,20.02,overcast clouds
8,Mount Gambier,AU,-37.8333,140.7667,43.03,93,100,5.82,overcast clouds
9,Kapaa,US,22.0752,-159.319,77.32,83,75,4.0,light rain
10,Busselton,AU,-33.65,115.3333,51.08,81,88,9.17,overcast clouds
11,Lac Du Bonnet,CA,50.2536,-96.0612,68.59,99,100,7.09,overcast clouds
12,Lasa,IT,46.6166,10.7002,84.11,31,1,0.78,clear sky
13,San Quintin,MX,30.4833,-115.95,68.27,91,100,8.93,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,62.29,82,66,5.99,broken clouds
15,Susanville,US,40.4163,-120.653,53.91,26,0,3.38,clear sky
16,Conceicao Da Barra,BR,-18.5933,-39.7322,76.75,52,2,7.54,clear sky
17,Ribeira Grande,PT,38.5167,-28.7,73.8,60,40,13.8,scattered clouds
18,Nishihara,JP,26.1842,127.7558,81.68,89,75,27.63,light intensity shower rain
19,Cherskiy,RU,68.75,161.3,50.14,60,100,6.64,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,49.57,72,91,3.0,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,70.07,71,100,18.81,light rain
22,Dwarahat,IN,29.7833,79.4333,68.65,92,87,3.94,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,28.06,69,20,6.91,few clouds
24,Chabahar,IR,25.2919,60.643,90.55,72,34,12.33,scattered clouds
25,Vaini,TO,-21.2,-175.2,73.56,94,20,5.75,few clouds
26,Nagod,IN,24.5667,80.6,83.37,78,100,5.01,light rain
27,Kirakira,SB,-10.4544,161.9205,77.95,87,77,7.02,broken clouds
28,Ilo,PE,-17.6394,-71.3375,59.86,82,75,4.61,broken clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,64,0,4.61,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,48.27,79,100,22.57,light rain
31,Padang,ID,-0.9492,100.3543,78.85,84,100,1.68,overcast clouds
32,Thompson,CA,55.7435,-97.8558,65.97,48,100,4.61,overcast clouds
33,Brooks,CA,50.5834,-111.8851,61.03,93,1,9.75,clear sky
34,Provideniya,RU,64.3833,-173.3,42.96,82,100,5.08,overcast clouds
35,Nanortalik,GL,60.1432,-45.2371,46.42,96,100,12.12,moderate rain
36,Iberia,US,29.9502,-91.7507,79.05,94,40,0.0,scattered clouds
37,Kavieng,PG,-2.5744,150.7967,82.02,79,94,9.73,light rain
38,Tiksi,RU,71.6872,128.8694,38.37,94,76,3.62,broken clouds
39,Punta Arenas,CL,-53.15,-70.9167,35.71,93,75,3.44,broken clouds
40,Jamestown,US,42.097,-79.2353,68.29,92,90,3.0,overcast clouds
41,Port Elizabeth,ZA,-33.918,25.5701,65.1,31,4,18.86,clear sky
42,Tuktoyaktuk,CA,69.4541,-133.0374,59.88,67,11,12.17,few clouds
43,Bambous Virieux,MU,-20.3428,57.7575,68.22,73,86,22.84,light rain
44,Hermanus,ZA,-34.4187,19.2345,53.91,68,100,29.01,light rain
45,Klaksvik,FO,62.2266,-6.589,52.72,87,12,6.38,few clouds
46,Aklavik,CA,68.2191,-135.0107,69.89,49,6,3.85,clear sky
47,Bubaque,GW,11.2833,-15.8333,81.19,80,100,9.1,light rain
48,Norman Wells,CA,65.282,-126.8329,63.28,63,84,4.79,broken clouds
49,Dillon,US,34.4166,-79.3712,78.49,87,100,5.53,overcast clouds
50,Avarua,CK,-21.2078,-159.775,75.25,94,40,9.22,light rain
51,Chapais,CA,49.7834,-74.8492,60.71,49,27,5.37,scattered clouds
52,Adrar,MR,20.5022,-10.0711,104.92,5,65,21.39,broken clouds
53,Mataura,NZ,-46.1927,168.8643,43.48,96,100,0.78,light rain
54,Castro,BR,-24.7911,-50.0119,55.17,46,6,2.55,clear sky
55,Bontang,ID,0.1333,117.5,78.66,82,98,9.69,overcast clouds
56,Malanje,AO,-9.5402,16.341,88.77,13,0,5.14,clear sky
57,Lavrentiya,RU,65.5833,-171.0,41.07,90,100,5.21,light rain
58,Solnechnyy,RU,50.7214,136.6319,74.7,82,100,4.68,overcast clouds
59,Saskylakh,RU,71.9167,114.0833,61.0,57,100,17.98,overcast clouds
60,Chegdomyn,RU,51.1167,133.0167,69.53,95,100,2.86,overcast clouds
61,Kaitangata,NZ,-46.2817,169.8464,49.93,84,100,2.89,moderate rain
62,Wattegama,LK,6.7989,81.4808,86.92,53,100,0.22,overcast clouds
63,Qaanaaq,GL,77.484,-69.3632,36.45,99,100,12.26,light rain
64,Dingle,PH,10.9995,122.6711,77.95,82,93,9.69,light rain
65,Helong,CN,42.5397,128.9972,73.04,84,100,2.66,overcast clouds
66,Mugur-Aksy,RU,50.35,90.5,67.68,42,84,8.08,broken clouds
67,Luwuk,ID,-0.9516,122.7875,76.12,92,100,5.84,overcast clouds
68,Tanout,NE,14.9709,8.8879,96.49,32,99,14.47,overcast clouds
69,Ocos,GT,14.5094,-92.1933,85.32,74,45,3.11,scattered clouds
70,Tambopata,PE,-12.7333,-69.1833,68.25,53,0,2.48,clear sky
71,Ilulissat,GL,69.2167,-51.1,48.22,66,40,6.91,scattered clouds
72,Gravdal,NO,68.1214,13.5031,49.89,93,75,27.63,broken clouds
73,Lorengau,PG,-2.0226,147.2712,81.88,72,100,3.0,overcast clouds
74,Mehamn,NO,71.0357,27.8492,48.38,81,90,19.57,light intensity shower rain
75,Washington,US,47.5001,-120.5015,61.2,59,0,6.13,clear sky
76,Hilo,US,19.7297,-155.09,72.81,86,90,0.0,light rain
77,Paamiut,GL,61.994,-49.6678,42.15,96,100,6.35,light rain
78,Lompoc,US,34.6391,-120.4579,62.28,90,90,5.75,mist
79,Barrow,US,71.2906,-156.7887,35.62,93,90,20.71,overcast clouds
80,Henties Bay,NA,-22.116,14.2845,56.86,70,1,13.38,clear sky
81,Salalah,OM,17.0151,54.0924,79.77,86,78,13.35,broken clouds
82,Khatanga,RU,71.9667,102.5,55.87,88,100,7.67,overcast clouds
83,Cervo,ES,43.6702,-7.4101,67.96,81,33,6.69,scattered clouds
84,Hovd,MN,48.0056,91.6419,78.89,24,0,5.88,clear sky
85,Guerrero Negro,MX,27.9769,-114.0611,68.38,90,100,12.71,overcast clouds
86,Dunedin,NZ,-45.8742,170.5036,46.8,73,100,1.99,light rain
87,Adwa,ET,14.1646,38.8955,60.31,87,100,3.58,overcast clouds
88,Panjab,AF,34.388,67.0233,65.97,24,100,21.83,overcast clouds
89,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,81,0,1.14,clear sky
90,Imbituba,BR,-28.24,-48.6703,58.89,55,54,1.95,broken clouds
91,Acapulco,MX,16.8634,-99.8901,79.18,86,99,3.91,overcast clouds
92,Northam,GB,51.0333,-4.2167,85.62,65,4,4.52,clear sky
93,Klyuchi,RU,52.2667,79.1667,78.17,38,15,13.11,few clouds
94,Hasaki,JP,35.7333,140.8333,75.6,83,7,6.98,clear sky
95,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,100,7.0,light rain
96,Saint George,US,37.1041,-113.5841,84.34,52,1,3.0,clear sky
97,Chokurdakh,RU,70.6333,147.9167,44.78,78,42,6.69,scattered clouds
98,Quelimane,MZ,-17.8786,36.8883,82.35,69,75,12.66,broken clouds
99,Mnogovershinnyy,RU,53.9353,139.9242,68.13,91,100,5.88,moderate rain
100,Bud,US,39.447,-86.1758,71.11,86,80,6.89,broken clouds
101,Sobolevo,RU,54.4299,31.8996,71.53,49,100,5.12,overcast clouds
102,Geraldton,AU,-28.7667,114.6,64.13,82,40,8.05,scattered clouds
103,Sitka,US,57.0531,-135.33,55.29,88,90,3.44,mist
104,Souillac,MU,-20.5167,57.5167,68.36,76,82,20.67,light rain
