City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Isangel,VU,74.64,scattered clouds,-19.55,169.2667,Tanna Lodge
1,Ambulu,ID,73.94,few clouds,-8.345,113.6058,Hotel Ambulu Jember
2,Albany,US,73.02,scattered clouds,42.6001,-73.9662,
3,Hobart,AU,49.91,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
5,Sitka,US,53.49,mist,57.0531,-135.33,Westmark Sitka
6,Rio Gallegos,AR,35.65,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
7,Tiksi,RU,38.32,broken clouds,71.6872,128.8694,Arktika
8,Acari,PE,71.82,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
9,Aklavik,CA,72.43,haze,68.2191,-135.0107,Aklavik Inn
12,Barrow,US,33.33,overcast clouds,71.2906,-156.7887,King Eider Inn
13,Bredasdorp,ZA,49.32,light rain,-34.5322,20.0403,Bredasdorp Country Manor
14,Rikitea,PF,71.1,light rain,-23.1203,-134.9692,People ThankYou
15,Busselton,AU,51.04,overcast clouds,-33.65,115.3333,Observatory Guest House
17,Kiunga,PG,73.15,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
18,Ushuaia,AR,28.06,few clouds,-54.8,-68.3,Albatros Hotel
21,Hofn,IS,59.02,clear sky,64.2539,-15.2082,Hótel Höfn
22,Port Alfred,ZA,64.13,clear sky,-33.5906,26.891,The Halyards Hotel
23,Jamestown,US,67.32,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
25,Port Elizabeth,ZA,63.1,clear sky,-33.918,25.5701,39 On Nile Guest House
26,Qaanaaq,GL,36.59,light rain,77.484,-69.3632,Qaanaaq Hotel
30,Bluff,NZ,43.81,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
31,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Thompson,CA,60.96,smoke,55.7435,-97.8558,Burntwood Hotel
33,Visnes,NO,65.1,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
34,Hermanus,ZA,51.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
38,Nanortalik,GL,46.35,moderate rain,60.1432,-45.2371,Hotel Kap Farvel
39,Mataura,NZ,43.48,light rain,-46.1927,168.8643,Ellie's Villa
40,Benito Juarez,MX,62.01,overcast clouds,19.385,-99.165,Hotel Novit
41,Santa Fe,AR,55.02,clear sky,-31.6333,-60.7,Conquistador Hotel
42,Rocha,UY,55.67,clear sky,-34.4833,-54.3333,Beleza Pura B&B
43,Vangaindrano,MG,70.61,scattered clouds,-23.35,47.6,Hotel Fanilo
44,Yellowknife,CA,65.32,few clouds,62.456,-114.3525,The Explorer Hotel
45,Fort Nelson,CA,53.19,fog,58.8053,-122.7002,The Fort Nelson Hotel
46,Manzhouli,CN,74.25,overcast clouds,49.6,117.4333,Angala International Youth Hostel
47,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
50,Beringovskiy,RU,47.93,overcast clouds,63.05,179.3167,Beringgorski
53,Provideniya,RU,42.76,overcast clouds,64.3833,-173.3,
54,Mount Gambier,AU,44.51,mist,-37.8333,140.7667,The Commodore
55,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
56,Yamada,JP,71.28,overcast clouds,39.4667,141.95,Iroha-ya Inn
58,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
60,Lebu,CL,52.75,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
61,Arraial Do Cabo,BR,69.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
63,Edson,CA,57.34,fog,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
66,Prince George,CA,54.25,broken clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
67,Vostok,RU,67.53,few clouds,46.4856,135.8833,
68,Veseloyarsk,RU,72.14,broken clouds,51.2836,81.1056,
69,Vestmannaeyjar,IS,54.59,broken clouds,63.4427,-20.2734,Glamping & Camping
70,Talnakh,RU,64.65,clear sky,69.4865,88.3972,Talnakh Hotel
71,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,Husavik,IS,69.71,few clouds,66.0449,-17.3389,Bjarnabúð
73,New Norfolk,AU,49.57,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
74,Cape Town,ZA,55.11,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
80,Laguna,US,72.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
81,Saskylakh,RU,60.17,overcast clouds,71.9167,114.0833,
82,Punta Arenas,CL,35.71,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
