City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Policarpo,PH,2021-07-19 23:08:36,12.1791,125.5072,80.76,82,100,6.22
1,Dikson,RU,2021-07-19 23:08:36,73.5069,80.5464,39.45,78,0,7.11
2,Nandi,IN,2021-07-19 23:08:36,13.3855,77.6984,67.6,89,92,13.91
3,Leningradskiy,RU,2021-07-19 23:08:37,69.3833,178.4167,40.96,85,100,3.65
4,Mataura,NZ,2021-07-19 23:08:37,-46.1927,168.8643,40.48,79,67,3.22
5,Cherskiy,RU,2021-07-19 23:08:37,68.75,161.3,59.07,44,100,9.33
6,Mamallapuram,IN,2021-07-19 23:08:37,12.6264,80.1722,78.85,67,98,14.27
7,Saint-Philippe,RE,2021-07-19 23:08:38,-21.3585,55.7679,69.39,75,50,14.72
8,Ust-Tsilma,RU,2021-07-19 23:08:38,65.441,52.1498,53.78,98,100,6.04
9,Khatanga,RU,2021-07-19 23:08:38,71.9667,102.5,56.97,64,100,6.98
10,Puerto Ayora,EC,2021-07-19 23:08:38,-0.7393,-90.3518,73.54,90,88,5.99
11,Punta Arenas,CL,2021-07-19 23:08:39,-53.15,-70.9167,37.51,81,0,13.8
12,Ancud,CL,2021-07-19 23:08:39,-41.8697,-73.8203,51.33,99,100,8.08
13,Isangel,VU,2021-07-19 23:08:39,-19.55,169.2667,78.78,73,17,3.85
14,Wageningen,NL,2021-07-19 23:08:39,51.9667,5.6667,61.14,87,0,5.79
15,Petropavlovsk-Kamchatskiy,RU,2021-07-19 23:08:40,53.0452,158.6483,55.99,100,90,2.24
16,Ngama,TD,2021-07-19 23:08:40,11.7833,17.1667,77.5,69,59,9.17
17,Ushuaia,AR,2021-07-19 23:04:31,-54.8,-68.3,40.66,70,20,1.14
18,Vaini,TO,2021-07-19 23:06:40,-21.2,-175.2,78.96,89,20,6.91
19,Constitucion,CL,2021-07-19 23:05:56,-35.3333,-72.4167,53.96,68,17,7.54
20,Kapaa,US,2021-07-19 23:08:40,22.0752,-159.319,86.32,75,90,5.01
21,Douglas,US,2021-07-19 23:08:31,41.3,-96.167,85.66,56,40,3.0
22,Kaithal,IN,2021-07-19 23:08:41,29.8,76.3833,77.4,94,100,8.86
23,Mount Gambier,AU,2021-07-19 23:08:41,-37.8333,140.7667,48.11,87,75,21.85
24,Gannan,CN,2021-07-19 23:08:41,47.9147,123.5031,74.66,85,26,3.83
25,Jamestown,US,2021-07-19 23:08:41,42.097,-79.2353,79.92,65,1,3.0
